Material Composition,Fabrication Technique,Tensile Strength (MPa),Thermal Conductivity (W/m·K),Elastic Modulus (GPa),Density (g/cm³),Fiber Volume Fraction (%)
Polymer Matrix,Langmuir-Blodgett,881.2657190890473,29.043655595373433,98.64615965043069,2.2650492392402515,48.6173407338952
Carbon Nanotubes,Electrospinning,1000.9386917498945,34.91903503147563,241.38083535754933,1.6514452867822713,42.54506642636125
Polymer Matrix,Electrospinning,1451.1462314054133,33.339861398574335,153.0219118676747,2.4793495436691186,54.9832892077438
Polymer Matrix,Electrospinning,1262.1084666974375,24.970535265936462,79.20527552979952,1.8213523148080113,56.93774039450123
Carbon Nanotubes,Langmuir-Blodgett,929.3211669377054,45.364575411994664,79.63580853985863,2.4186461600582234,56.355443757780606
Carbon Nanotubes,Electrospinning,554.3661784401837,36.70642092509424,171.71359809803155,2.162278301248293,49.192734851347055
Polymer Matrix,Electrospinning,668.5205921437594,18.21625322399235,216.28454932637848,2.1341174892489527,53.81403743325485
Graphene,Electrospinning,955.9244243194171,22.796119740229095,199.54230505070288,2.415372448866047,41.53772297850627
Polymer Matrix,Electrospinning,1313.825900098704,41.51512406813014,181.12546852711998,2.0132793322523277,43.98792661313122
Polymer Matrix,Electrospinning,880.695535677344,14.181015240803978,84.42161249764777,1.9007780308880076,40.938784831304545
Polymer Matrix,Langmuir-Blodgett,1038.4966507450597,40.00927994897188,71.66800115418779,1.7176227554059325,59.308804435476475
Polymer Matrix,Electrospinning,1391.8048860851022,24.353697645831815,50.04960474169551,1.64453619451043,51.4862507851703
Carbon Nanotubes,Langmuir-Blodgett,1413.796259426629,32.06764184433742,70.35877224678724,2.291768814469655,43.50480039219068
Polymer Matrix,Electrospinning,715.7749964426894,21.222324686913584,203.2733214966768,1.6279383253200241,54.15090910543777
Graphene,Electrospinning,543.5949217925944,49.45826287281711,229.04968319780752,1.8940175522428107,49.78257594623029
Carbon Nanotubes,Electrospinning,805.410530971515,46.23361168569217,98.0700917710837,1.9092168296195566,48.68515260750298
Graphene,Langmuir-Blodgett,1195.8023148257803,47.13799347777007,208.97884809001718,2.164499378352719,58.26906362949386
Graphene,Langmuir-Blodgett,1451.1122009762664,17.391020719100666,89.76975312159621,1.7785145071918917,54.16412166147756
Graphene,Langmuir-Blodgett,577.0319999841139,43.667603838470605,99.8543366716403,2.338228938209802,53.813173900553934
Graphene,Electrospinning,528.4838105492715,31.415884040963608,94.83161887844054,1.707484152161061,41.946174005064584
Carbon Nanotubes,Electrospinning,1384.1472129857218,38.31436801094554,60.34598180983426,2.289148654932726,41.8405737117872
Carbon Nanotubes,Langmuir-Blodgett,1248.1452691031411,18.700162669617857,88.81225362003295,2.349759174421475,53.288665783032954
Graphene,Langmuir-Blodgett,1492.2485791555753,38.47938583916864,124.70866892146186,1.6931806402405356,43.12981066513571
Graphene,Electrospinning,896.7928814656532,46.57068978289185,131.09394307765803,2.3094158340268507,49.06506936753621
Carbon Nanotubes,Langmuir-Blodgett,916.0509051367694,20.699255433951997,111.89328277863248,2.213740148203268,51.3961016990708
Carbon Nanotubes,Electrospinning,672.3118372974495,19.334394061980262,152.94505712877339,2.37437790513213,47.76181224400816
Carbon Nanotubes,Langmuir-Blodgett,615.8471525973384,14.17658193893911,125.59964649996469,2.0099683171875333,41.703092452462336
Polymer Matrix,Langmuir-Blodgett,1078.718010590238,20.672267012466442,244.07292923481708,1.7338565078712742,54.86701641754473
Polymer Matrix,Langmuir-Blodgett,864.2850012948326,31.4316904726245,211.47009086625297,2.4120397367289446,57.70063952359257
Polymer Matrix,Electrospinning,580.316447945245,43.308651657502416,236.19546918858435,2.2900436169083593,43.233666493843884
Graphene,Electrospinning,1386.9870695233199,21.15201050630558,161.48538924254063,1.5209853718984765,57.08207176779788
Polymer Matrix,Langmuir-Blodgett,698.356468249333,34.84577556277254,185.6679257442615,2.4394135862944824,55.77391902823909
Graphene,Electrospinning,1248.584347003533,29.183627966921595,83.33527502023887,2.4485252586494326,51.277205482208174
Graphene,Electrospinning,782.2285961181111,21.543161624710866,200.55715144742652,1.8553041307765137,51.92200674434651
Polymer Matrix,Electrospinning,1312.9048307527992,30.41436324778589,97.19422223305467,1.510018257274249,53.031362236594745
Graphene,Electrospinning,618.3968414276541,16.718495855835087,79.16658554683525,2.052537321210055,50.49522929419054
Polymer Matrix,Langmuir-Blodgett,1256.0716102217616,35.58310239394073,58.371869747832285,2.4136757730943517,56.88685461789242
Polymer Matrix,Electrospinning,598.1188739005124,14.626508847354028,144.44604992039308,1.624440283597111,49.48197328737761
Carbon Nanotubes,Electrospinning,946.9157878569433,39.23922100572912,107.35785192587007,2.090509687257722,50.94105361811195
Polymer Matrix,Langmuir-Blodgett,1234.0043505996045,17.10850713542029,247.34543452723773,2.2317692802096527,40.73530806848333
Carbon Nanotubes,Electrospinning,673.2183811869006,49.92636613267487,99.9668604031626,1.6346898605238753,43.60139344476369
Polymer Matrix,Electrospinning,785.664988846723,42.94690379041648,223.3086560637308,2.0132734096514535,58.07555973734723
Polymer Matrix,Electrospinning,1364.7669920921976,23.753612154388893,113.28775382626554,1.588804273835132,42.431441908950866
Carbon Nanotubes,Langmuir-Blodgett,1385.119320907646,27.048190891572492,199.82537046248248,2.0581261737339958,58.08098954876812
Carbon Nanotubes,Langmuir-Blodgett,544.9354524527263,20.367640844307537,181.96826201394106,1.9421156084090825,52.71848631443593
Polymer Matrix,Electrospinning,668.0905853529753,40.68458244719997,162.35671093233645,1.764698023304352,58.40247461254435
Graphene,Electrospinning,617.471940272859,25.229078798310958,133.36498869082027,2.353080539180217,56.28611745784556
Carbon Nanotubes,Langmuir-Blodgett,679.693094651303,40.20742039278143,184.2210025689186,1.8817894770241894,57.30566920453127
Graphene,Langmuir-Blodgett,1470.1877243062727,10.736062187207223,131.4556700433717,2.199817078138084,50.48765807668596
Graphene,Langmuir-Blodgett,1051.6552487904564,15.424838380183829,159.62004686546396,2.290682667908688,56.505966100304974
Graphene,Electrospinning,968.1123904549268,24.598973388102742,167.96034736719378,1.6786279004187836,49.21055520298496
Carbon Nanotubes,Electrospinning,1484.467373092616,14.356341335783709,103.4710440074248,1.6191135028736512,40.88345854071742
Graphene,Langmuir-Blodgett,1056.9561298607355,34.045119691849635,117.94729546107796,1.50783517311286,53.027165661736305
Carbon Nanotubes,Electrospinning,1161.1179273455245,12.033283941364932,53.61001271156063,1.8058078891995986,54.569064314201945
Graphene,Electrospinning,832.7705460491802,44.39051978357372,220.43179867895682,2.315955682417861,42.03097455023306
Polymer Matrix,Electrospinning,882.1148645095186,40.4523199502393,201.19662886012694,2.2727658286860164,56.3181390963881
Polymer Matrix,Electrospinning,1094.409383809073,18.650259169118097,86.70609066058448,2.371805941097398,41.50347565854277
Carbon Nanotubes,Electrospinning,569.7857840004648,29.351676245188713,122.40969000171174,2.260600203246628,48.83228236815194
Polymer Matrix,Electrospinning,755.8828860447752,28.07252313643682,134.2138966018057,1.523991573455062,49.75847438322789
Polymer Matrix,Electrospinning,696.811749460307,38.99458461361511,116.87573840001761,1.8855176389420474,40.735138181494555
Graphene,Langmuir-Blodgett,515.8933931400036,26.060356018980357,209.64856132121795,1.5059272269318813,41.31609111994986
Carbon Nanotubes,Langmuir-Blodgett,1036.9012705204218,11.31741191319383,195.08414122309705,1.5360510138379315,49.01288329880036
Graphene,Langmuir-Blodgett,1061.0528395238791,20.949434353993546,203.4317460282391,1.978558730449131,46.22515385745389
Graphene,Langmuir-Blodgett,883.9392230372589,28.647832209481685,230.82601018687066,1.8600055438112588,56.3181553082319
Graphene,Langmuir-Blodgett,768.7274694647908,48.97968864642556,169.03025118007588,2.0585235092330674,48.277096187504675
Graphene,Langmuir-Blodgett,1152.0598759946247,45.246346678173815,172.9068658056109,1.566160941124968,42.11054150804689
Graphene,Langmuir-Blodgett,634.6591613844569,17.25624576008762,194.38682392944656,2.0883001151396794,43.157570430240945
Graphene,Langmuir-Blodgett,1018.615031635334,38.93103761963084,186.24651893013544,1.5650023687983772,53.46946086691035
Graphene,Langmuir-Blodgett,1268.07398581062,47.4730189205915,223.96260367979235,1.9236842052422816,59.00130600003635
Carbon Nanotubes,Electrospinning,664.2979839524724,10.351704521410344,204.03964116890896,1.8523576289995585,57.39194622543069
Polymer Matrix,Electrospinning,1253.2595385958189,38.83782694683304,74.09172329576171,1.7239479412607472,42.589886569454805
Graphene,Langmuir-Blodgett,1260.794509153398,28.373339824446294,235.67172308955736,1.81197126774339,40.327362599251124
Graphene,Electrospinning,559.9266482304549,37.20944785132445,186.6198580602405,1.5005241040704806,40.528775465261745
Graphene,Electrospinning,518.7843260871819,34.22357094287161,75.42918516527075,1.8240935434929093,51.096968284185806
Graphene,Langmuir-Blodgett,1473.9354059881948,49.38661977822806,204.39474714318652,1.5784083422362598,49.717953002126514
Graphene,Langmuir-Blodgett,693.382659498825,21.552616251914714,121.68250594784091,2.421302172748141,40.26793191447888
Graphene,Langmuir-Blodgett,1322.139209100103,41.445719274770596,211.19558240730063,1.5743328800468461,41.14245464750891
Polymer Matrix,Electrospinning,1061.8506530452987,19.385595532522444,241.08118859804338,2.453105887715674,59.99508920868662
Polymer Matrix,Electrospinning,764.4721575369967,27.424319102006915,101.04840722178594,1.9914263347434638,59.29882470077074
Graphene,Langmuir-Blodgett,629.9704366188125,49.015234958696475,221.48220921698186,2.0131731552932925,42.534494257051335
Polymer Matrix,Electrospinning,996.6772735777275,40.6454518405661,204.7122740287877,2.2881257386811265,43.28199791680028
Carbon Nanotubes,Electrospinning,907.3548116294498,22.63285025134236,184.23698004009344,2.195379712568452,58.00325718799324
Graphene,Electrospinning,1198.886085117068,34.774771323677996,126.98410891218272,1.737061122889196,50.14878824398686
Carbon Nanotubes,Langmuir-Blodgett,1404.1685495477268,11.987683340111,71.97241908889198,1.5254663490440628,59.15951759277114
Carbon Nanotubes,Electrospinning,1305.2480869634383,20.65579666483879,146.7793655839854,2.2784492091546666,50.4067950139968
Graphene,Electrospinning,774.4520502048119,38.73561958414458,71.13332595549811,1.6297427992240723,51.54448172751674
Polymer Matrix,Electrospinning,1378.9332184523057,32.803742783532996,150.02944537566503,2.098369228523537,44.40271799769071
Carbon Nanotubes,Electrospinning,1333.3913141046041,28.786914119070893,214.05865415511394,2.442631773937779,57.52151804832158
Graphene,Electrospinning,1429.1362337217683,37.635042400638525,249.52762688019263,2.0494434898921994,56.50005223020158
Carbon Nanotubes,Electrospinning,958.6608210379877,25.93835563279304,89.60174229862179,1.7855732585777764,46.74846186322905
Carbon Nanotubes,Electrospinning,1268.5751724093984,11.046245781296523,91.57160846940448,1.6788021223140033,52.24746047127995
Carbon Nanotubes,Langmuir-Blodgett,1091.6580655236703,27.64106494062269,212.17666638381382,1.5269499108682303,46.82884689746776
Carbon Nanotubes,Langmuir-Blodgett,810.5027525494834,46.08516769173046,143.81172645944199,2.1232449421369397,49.27936557710498
Polymer Matrix,Electrospinning,1494.4310025427635,44.26460513256485,233.16091920637638,2.0579990690113625,57.07102467472822
Carbon Nanotubes,Langmuir-Blodgett,538.3074668396614,26.359887416380516,203.79924751624287,1.9617259154113507,48.30844069508388
Carbon Nanotubes,Electrospinning,662.2725725590747,10.888857630415307,197.28555294603845,1.693771429067501,56.81131218250079
Carbon Nanotubes,Electrospinning,1392.542362531895,35.45229090481263,70.39074173093135,1.736631866635551,59.20250498214704
Polymer Matrix,Electrospinning,560.5628434126335,39.64777711131458,57.17511303481801,2.458529003019732,48.326881326926326
Carbon Nanotubes,Langmuir-Blodgett,1386.8206673435216,21.769743043370994,113.35256393197228,1.5204040883495347,57.55063899147456
Carbon Nanotubes,Electrospinning,1215.221476058201,29.06655998478297,93.45967216979072,1.8634346649628177,46.079666974139926
Polymer Matrix,Electrospinning,536.6840053945423,49.67427180990833,192.46177718570263,1.5388125049904415,40.05728756604999
Polymer Matrix,Langmuir-Blodgett,929.3200428541766,33.05372051926395,140.14674483321008,1.6915693391464655,41.68982830312102
Polymer Matrix,Langmuir-Blodgett,1254.4714750022372,24.042996226462666,154.62927492578382,2.433136286760815,54.74202614113673
Carbon Nanotubes,Electrospinning,1083.1002846307997,35.09955506560532,212.7482965743798,1.6495627763326035,42.00363631490291
Polymer Matrix,Langmuir-Blodgett,1435.871291964458,17.20089227456338,145.70093635314186,2.100785308452962,58.78319671372728
Polymer Matrix,Langmuir-Blodgett,1367.6440329119998,17.9700949309832,158.98526416107984,1.8469450738347066,57.331591662129256
Carbon Nanotubes,Electrospinning,832.647635334146,46.996988588560676,218.4640532816044,2.1330481223434576,50.29702051843756
Polymer Matrix,Electrospinning,584.6271955200904,19.568001646773226,136.26716186150256,2.3521428585391417,51.630200995352794
Carbon Nanotubes,Electrospinning,1444.2570396456513,22.431575168629763,66.6253415827198,1.7865444103738795,53.88696169970918
Graphene,Langmuir-Blodgett,1017.2867677679266,31.751089678790155,154.3410419185965,1.578623132134474,54.63012096233386
Polymer Matrix,Langmuir-Blodgett,574.3976243719485,45.98770481110425,165.8723368465695,1.704179891363218,49.82413375516266
Graphene,Langmuir-Blodgett,1316.5756133592795,41.257955588760574,152.3593608625986,1.9390902134735413,46.2680026706572
Carbon Nanotubes,Electrospinning,1368.5064706853912,11.751356826794996,101.60990344362348,2.0150638620496792,58.204799102721
